property_name,property_area_or_psf,property_total_price
Neil Road,"1,269 sqft / $3.78 psf(Built)","$4,800"
705 Ang Mo Kio Avenue 8,700 sqft / $6.86 psf(Built),"$4,800"
Bukit Pasoh Conservation Area,"1,200 sqft / $3.33 psf(Built)","$4,000"
Sims Avenue,"1,987 sqft / $8.05 psf(Built)","$16,000"
Serangoon Road,"2,000 sqft / $5.15 psf(Built)","$10,300"
116 aljunied avenue 2,700 sqft / $15.71 psf(Built),"$11,000"
Sims Avenue,"1,300 sqft / $5.23 psf(Built)","$6,800"
Sims Avenue,"1,300 sqft / $5.23 psf(Built)","$6,800"
Desker Road Conservation Area,"2,153 sqft / $5.34 psf(Built)","$11,500"
116 aljunied avenue 2,700 sqft / $15.71 psf(Built),"$11,000"
116 aljunied avenue 2,700 sqft / $15.71 psf(Built),"$11,000"
Far East Plaza,300 sqft / $13.33 psf(Built),"$4,000"
Jalan Besar,"1,800 sqft / $5.56 psf(Built)","$10,000"
Balestier Road,"2,500 sqft / $6.00 psf(Built)","$15,000"
Circular Road,"1,200 sqft / $4.58 psf(Built)","$5,500"
Ubi Avenue 1,683 sqft / $10.54 psf(Built),"$7,200"
Jurong East Street 13,807 sqft / $5.58 psf(Built),"$4,500"
Joo Chiat Road,"1,400 sqft / $4.64 psf(Built)","$6,500"
Sims Avenue,"1,300 sqft / $5.23 psf(Built)","$6,800"
Sims Avenue,"1,300 sqft / $5.23 psf(Built)","$6,800"
Sims Avenue,"1,300 sqft / $5.23 psf(Built)","$6,800"
Geylang Road,"3,100 sqft / $3.06 psf(Built)","$9,500"
South Bridge Road,"3,328 sqft / $9.01 psf(Built)","$30,000"
Mosque Street,"1,717 sqft / $11.65 psf(Built)","$20,000"
Teo Hong Road,"4,630 sqft / $10.58 psf(Built)","$49,000"
Boat Quay Conservation Area,"2,539 sqft / $9.85 psf(Built)","$25,000"
Kallang Bahru,"2,612 sqft / $6.01 psf(Built)","$15,700"
Chin Swee Road,800 sqft / $4.38 psf(Built),"$3,500"
Little India Conservation Area,"1,053 sqft / $7.60 psf(Built)","$8,000"
Kallang Place,"1,952 sqft / $1.90 psf(Built)","$3,709"
Hougang Avenue 4,253 sqft / $23.72 psf(Built),"$6,000"
Little India Conservation Area,590 sqft / $5.08 psf(Built),"$3,000"
Kerbau Road,"1,400 sqft / $4.57 psf(Built)","$6,400"
Clementi Avenue 2 Shopping Centre,700 sqft / $9.29 psf(Built),"$6,500"
Kovan MRT,"1,065 sqft / $5.45 psf(Built)","$5,800"
Woodlands Bizhub,440 sqft / $3.30 psf(Built),"$1,450"
Geylang Road,900 sqft / $3.33 psf(Built),"$3,000"
Geylang Road,985 sqft / $3.05 psf(Built),"$3,000"
Tanjong Pagar Conservation Area,"1,410 sqft / $7.45 psf(Built)","$10,500"
Craig Road,"1,410 sqft / $7.45 psf(Built)","$10,500"
Neil Road,"1,600 sqft / $6.88 psf(Built)","$11,000"
Bukit Pasoh Road,"1,600 sqft / $6.88 psf(Built)","$11,000"
New Bridge Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
Bukit Pasoh Conservation Area,"1,600 sqft / $6.88 psf(Built)","$11,000"
Blair Plain Conservation Area,"1,039 sqft / $4.81 psf(Built)","$4,999"
North Bridge Road,"4,199 sqft / $4.00 psf(Built)","$16,800"
Sembawang Springs Estate,"1,260 sqft / $6.98 psf(Built)","$8,800"
Chijmes,870 sqft / $19.40 psf(Built),"$16,880"
Chijmes,"1,044 sqft / $16.17 psf(Built)","$16,880"
Duxton Road,"4,000 sqft / $9.97 psf(Built)","$39,880"
North Bridge Road,"2,890 sqft / $4.15 psf(Built)","$12,000"
Mustafa Centre,"1,800 sqft / $6.05 psf(Built)","$10,888"
Bedok North Street 4,250 sqft / $14.00 psf(Built),"$3,500"
5 Banda Street,200 sqft / $15.00 psf(Built),"$3,000"
Jalan Besar,210 sqft / $10.95 psf(Built),"$2,300"
Ang Mo Kio Avenue 1,366 sqft / $9.56 psf(Built),"$3,500"
Horizon Green,100 sqft / $11.00 psf(Built),"$1,100"
Clementi Avenue 3,"1,850 sqft / $7.03 psf(Built)","$13,000"
Tampines Street 81,400 sqft / $16.25 psf(Built),"$6,500"
Lavender Street,"1,534 sqft / $7.50 psf(Built)","$11,505"
Clementi Avenue 3,"1,141 sqft / $6.05 psf(Built)","$6,900"
Jalan Bukit Merah,750 sqft / $10.00 psf(Built),"$7,500"
Bugis Point,"2,140 sqft / $18.69 psf(Built)","$40,000"
Balestier Road,200 sqft / $15.00 psf(Built),"$3,000"
Jalan Bukit Merah,624 sqft / $9.94 psf(Built),"$6,200"
Bukit Batok Street 31,"1,025 sqft / $14.52 psf(Built)","$14,880"
Silat Avenue,732 sqft / $6.15 psf(Built),"$4,500"
North Bridge Road,"4,199 sqft / $4.00 psf(Built)","$16,800"
Jalan Besar,"1,550 sqft / $7.74 psf(Built)","$12,000"
River Valley Road,"1,044 sqft / $4.79 psf(Built)","$5,000"
New Bridge Road,"2,900 sqft / $8.97 psf(Built)","$26,000"
Pekin Street,936 sqft / $7.40 psf(Built),"$6,928"
Waterloo Street,300 sqft / $7.67 psf(Built),"$2,300"
Duxton Road,"1,950 sqft / $10.26 psf(Built)","$20,000"
Tanjong Pagar Conservation Area,"1,000 sqft / $6.50 psf(Built)","$6,500"
Pekin Street,"1,851 sqft / $6.50 psf(Built)","$12,031"
Tras Street,"1,600 sqft / $6.56 psf(Built)","$10,500"
Duxton Road,"1,100 sqft / $9.09 psf(Built)","$10,000"
Tanjong Pagar Conservation Area,"1,200 sqft / $6.67 psf(Built)","$8,000"
Duxton Road,900 sqft / $6.44 psf(Built),"$5,800"
Tras Street,"1,300 sqft / $6.54 psf(Built)","$8,500"
Duxton Road,600 sqft / $6.33 psf(Built),"$3,800"
Tras Street,"1,900 sqft / $5.16 psf(Built)","$9,800"
Tanjong Pagar Conservation Area,"1,950 sqft / $10.26 psf(Built)","$20,000"
Tan See Swan & Sons Building,732 sqft / $5.46 psf(Built),"$4,000"
Tanjong Pagar Conservation Area,"1,000 sqft / $7.00 psf(Built)","$7,000"
Eng Kong Park,"1,500 sqft / $2.80 psf(Built)","$4,200"
Bali Lane,"1,227 sqft / $5.60 psf(Built)","$6,870"
Amoy Street,"1,819 sqft / $6.49 psf(Built)","$11,800"
Tanjong Pagar Conservation Area,"1,410 sqft / $7.80 psf(Built)","$11,000"
Tat Ann Building,191 sqft / $4.19 psf(Built),$800
Sin Cheong Building,"1,525 sqft / $3.50 psf(Built)","$5,338"
River Valley Road,500 sqft / $7.00 psf(Built),"$3,500"
Mohamed Sultan Road,500 sqft / $7.00 psf(Built),"$3,500"
Holland Village,"2,290 sqft / $12.66 psf(Built)","$29,000"
Holland Village,"2,290 sqft / $12.66 psf(Built)","$29,000"
Bedok Reservoir Road,883 sqft / $13.02 psf(Built),"$11,500"
Aljunied Avenue 2,200 sqft / $30.00 psf(Built),"$6,000"
Boat Quay Conservation Area,840 sqft / $12.00 psf(Built),"$10,080"
Boat Quay Conservation Area,624 sqft / $12.00 psf(Built),"$7,488"
Mustafa Centre,"1,474 sqft / $9.49 psf(Built)","$13,988"
90 owen road,"1,603 sqft / $5.30 psf(Built)","$8,500"
★★ 2 storey Massage Shop Takeover @ Kovan ★★,"1,600 sqft / $5.00 psf(Built)","$8,000"
"★★ Cheap Ang Mo Kio Central shop, ready for takeover ★★",400 sqft / $17.50 psf(Built),"$7,000"
Hamilton Road,"1,700 sqft / $4.00 psf(Built)","$6,800"
"HDB shop opp hawker, facing main road, near coffeeshops ★★",750 sqft / $14.67 psf(Built),"$11,000"
Armenian Street,"3,056 sqft / $7.79 psf(Built)","$23,800"
Owen Road,"3,000 sqft / $4.83 psf(Built)","$14,500"
New Bridge Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
Mohamed Sultan Road,826 sqft / $5.70 psf(Built),"$4,712"
Jurong Gateway,350 sqft / $4.29 psf(Built),"$1,500"
Blair Plain Conservation Area,890 sqft / $6.52 psf(Built),"$5,800"
Townshend Road,"1,222 sqft / $8.02 psf(Built)","$9,800"
Bishan Street 11,987 sqft / $6.08 psf(Built),"$6,000"
90 owen road,"1,300 sqft / $8.46 psf(Built)","$11,000"
New Bridge Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
Tras Street,"2,500 sqft / $7.20 psf(Built)","$18,000"
Toa Payoh Central,530 sqft / $30.00 psf(Built),"$15,900"
Ue Bizhub East,"1,216 sqft / $9.87 psf(Built)","$12,000"
Boat Quay Conservation Area,"2,300 sqft / $8.00 psf(Built)","$18,400"
The Signature,"7,278 sqft / $6.73 psf(Built)","$49,000"
Holland Village,"2,290 sqft / $12.66 psf(Built)","$29,000"
The Rochester Mall - F&B/Retails For Lease,"1,632 sqft / $6.99 psf(Built)","$11,400"
UE Bizhub East @CBP - F&B / Retails for lease,"1,805 sqft / $8.86 psf(Built)","$15,999"
Holland Village,"1,800 sqft / $13.89 psf(Built)","$25,000"
The Signature,"7,278 sqft / $4.95 psf(Built)","$36,000"
Serangoon Road,"1,400 sqft / $3.14 psf(Built)","$4,400"
Junction Nine,624 sqft / $8.49 psf(Built),"$5,300"
West Coast Plaza,300 sqft / $16.67 psf(Built),"$5,000"
WOODLANDS MRT STATION (TE2),429 sqft / $14.04 psf(Built),"$6,023"
Geylang Road,"1,400 sqft / $3.14 psf(Built)","$4,400"
Holland Village,"1,800 sqft / $13.89 psf(Built)","$25,000"
Geylang Road,"1,000 sqft / $6.50 psf(Built)","$6,500"
Emerald Hill Road,"3,000 sqft / $6.00 psf(Built)","$18,000"
Sam Leong Road,"1,300 sqft / $7.69 psf(Built)","$10,000"
Clementi Avenue 3,305 sqft / $39.02 psf(Built),"$11,900"
Clementi Avenue 3,700 sqft / $6.43 psf(Built),"$4,500"
Craig Road,"1,500 sqft / $10.67 psf(Built)","$16,000"
Ann Siang Road,"2,400 sqft / $15.83 psf(Built)","$38,000"
Bedok South Road,300 sqft / $23.33 psf(Built),"$7,000"
Bukit Pasoh Conservation Area,"1,729 sqft / $14.46 psf(Built)","$25,000"
Mosque Street,"1,719 sqft / $8.73 psf(Built)","$15,000"
Mayflower Shopping & Food Centre,800 sqft / $5.25 psf(Built),"$4,200"
Bukit Pasoh Conservation Area,"1,700 sqft / $14.71 psf(Built)","$25,000"
Ubi Avenue 1,350 sqft / $11.43 psf(Built),"$4,000"
Desker Road * F&B Approved,"3,000 sqft / $5.33 psf(Built)","$16,000"
Duxton Hill,"1,117 sqft / $13.43 psf(Built)","$15,000"
Ang Siang Hill,"2,500 sqft / $16.00 psf(Built)","$40,000"
Chai Chee Road,100 sqft / $30.00 psf(Built),"$3,000"
Hongkong Street,"5,700 sqft / $5.79 psf(Built)","$33,000"
Boat Quay Conservation Area,"1,115 sqft / $4.93 psf(Built)","$5,500"
Bukit Merah Central,275 sqft / $9.09 psf(Built),"$2,500"
Tanjong Pagar Plaza,240 sqft / $7.08 psf(Built),"$1,700"
New Bridge Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
New Bridge Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
Pagoda Street,"1,820 sqft / $9.89 psf(Built)","$18,000"
Redhill Close,320 sqft / $13.13 psf(Built),"$4,200"
Jalan Bukit Merah,375 sqft / $10.00 psf(Built),"$3,750"
Bedok South Avenue 3,"1,464 sqft / $6.15 psf(Built)","$9,000"
Amoy Street,"1,819 sqft / $6.50 psf(Built)","$11,823"
Lavender,"1,368 sqft / $6.43 psf(Built)","$8,800"
Kallang Bahru,"2,612 sqft / $6.00 psf(Built)","$15,675"
Amoy Street,900 sqft / $12.00 psf(Built),"$10,800"
Amoy Street,900 sqft / $12.00 psf(Built),"$10,800"
Jurong East Avenue 1,"1,800 sqft / $5.39 psf(Built)","$9,700"
Amoy Street,"1,819 sqft / $6.50 psf(Built)","$11,823"
Lavender Street,"1,534 sqft / $7.50 psf(Built)","$11,500"
Telok Blangah Heights,350 sqft / $8.00 psf(Built),"$2,800"
North Canal Road,"1,100 sqft / $6.36 psf(Built)","$7,000"
Tanjong Katong Road,"1,600 sqft / $6.13 psf(Built)","$9,800"
Pasir Panjang Road,"5,640 sqft / $3.19 psf(Built)","$18,000"
Circular Road,"1,100 sqft / $6.36 psf(Built)","$7,000"
Lorong Telok,"1,100 sqft / $6.36 psf(Built)","$7,000"
Boat Quay,"1,100 sqft / $6.36 psf(Built)","$7,000"
South Bridge Road,"1,250 sqft / $7.20 psf(Built)","$9,000"
Trengganu Street,"1,250 sqft / $7.20 psf(Built)","$9,000"
Sago Street,"1,250 sqft / $7.20 psf(Built)","$9,000"
Sago Street,"1,250 sqft / $7.20 psf(Built)","$9,000"
Smith Street,"1,250 sqft / $7.20 psf(Built)","$9,000"
Temple Street,"1,250 sqft / $7.20 psf(Built)","$9,000"
Kreta Ayer Conservation Area,"1,250 sqft / $7.20 psf(Built)","$9,000"
Kreta Ayer Conservation Area,"1,250 sqft / $7.20 psf(Built)","$9,000"
Tanjong Pagar Conservation Area,"3,900 sqft / $8.08 psf(Built)","$31,500"
Bussorah Street,"1,200 sqft / $10.00 psf(Built)","$12,000"
Circular Road,840 sqft / $12.00 psf(Built),"$10,080"
North Bridge Road,"1,402 sqft / $6.42 psf(Built)","$9,000"
Kreta Ayer Conservation Area,900 sqft / $4.22 psf(Built),"$3,800"
New Bridge Road,"2,600 sqft / $6.92 psf(Built)","$18,000"
Carpenter Street,"2,600 sqft / $6.92 psf(Built)","$18,000"
Hongkong Street,"2,600 sqft / $6.92 psf(Built)","$18,000"
Boat Quay Conservation Area,"1,600 sqft / $6.25 psf(Built)","$10,000"
Bishan Street 11,350 sqft / $5.14 psf(Built),"$1,800"
"Desker Road - Ground floor F&B,subject to approval","1,100 sqft / $8.64 psf(Built)","$9,500"
shophouse for rent 旺铺招租,"2,950 sqft / $6.78 psf(Built)","$20,000"
Circular Road,840 sqft / $12.00 psf(Built),"$10,080"
Hongkong Street,"1,970 sqft / $6.90 psf(Built)","$13,600"
Hongkong Street,985 sqft / $6.90 psf(Built),"$6,800"
Carpenter Street,"1,373 sqft / $8.74 psf(Built)","$12,000"
New Bridge Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
Hongkong Street,"1,373 sqft / $8.74 psf(Built)","$12,000"
Telok Ayer Conservation Area,939 sqft / $10.54 psf(Built),"$9,900"
North Canal Road,840 sqft / $11.90 psf(Built),"$10,000"
Lorong Telok,840 sqft / $11.90 psf(Built),"$10,000"
Circular Road,840 sqft / $11.90 psf(Built),"$10,000"
Tanjong Pagar Road,"4,688 sqft / $6.40 psf(Built)","$30,000"
Tanjong Pagar Road,"3,288 sqft / $6.08 psf(Built)","$20,000"
Tanjong Pagar Road,"2,800 sqft / $7.14 psf(Built)","$20,000"
Tanjong Pagar Road,"1,888 sqft / $5.30 psf(Built)","$10,000"
Tanjong Pagar Road,"1,400 sqft / $7.14 psf(Built)","$10,000"
Mosque Street,"1,717 sqft / $11.65 psf(Built)","$20,000"
New Upper Changi Road,255 sqft / $25.49 psf(Built),"$6,500"
Nguang Building,948 sqft / $4.01 psf(Built),"$3,800"
Norris Road,746 sqft / $4.42 psf(Built),"$3,300"
Cheng San Centre,27 sqft / $96.30 psf(Built),"$2,600"
Tanjong Pagar Road,"1,600 sqft / $8.13 psf(Built)","$13,000"
Tras Street,"1,600 sqft / $8.13 psf(Built)","$13,000"
Tanjong Pagar Conservation Area,"1,200 sqft / $6.67 psf(Built)","$8,000"
Tanjong Pagar Conservation Area,"1,200 sqft / $6.67 psf(Built)","$8,000"
Tanjong Pagar Road,"1,500 sqft / $5.73 psf(Built)","$8,600"
Tras Street,"1,500 sqft / $5.73 psf(Built)","$8,600"
Neil Road,"2,200 sqft / $6.14 psf(Built)","$13,500"
Chander Road,"1,200 sqft / $6.00 psf(Built)","$7,200"
East Coast Road,700 sqft / $5.71 psf(Built),"$4,000"
Telok Ayer Conservation Area,"1,819 sqft / $6.50 psf(Built)","$11,815"
Telok Ayer Conservation Area,"1,819 sqft / $6.50 psf(Built)","$11,815"
Mosque Street,"1,717 sqft / $11.65 psf(Built)","$20,000"
"★★ Jurong east tuition centre, avail Oct 22 ★★","1,000 sqft / $3.80 psf(Built)","$3,800"
Ann siang hill,"1,173 sqft / $11.94 psf(Built)","$14,000"
Circular Road,840 sqft / $12.00 psf(Built),"$10,080"
Circular Road,624 sqft / $12.00 psf(Built),"$7,488"
Along Kerbau road,"1,000 sqft / $7.50 psf(Built)","$7,500"
Tanjong Pagar Conservation Area,"1,600 sqft / $8.13 psf(Built)","$13,000"
Tanjong Pagar Conservation Area,"1,200 sqft / $7.33 psf(Built)","$8,800"
⭐ Cheap 2 storey shophouse @ Farrer Park - dont miss it ⭐,"1,600 sqft / $5.19 psf(Built)","$8,300"
Kampong glam,"1,400 sqft / $9.86 psf(Built)","$13,800"
Geylang Bahru,731 sqft / $9.58 psf(Built),"$7,000"
Hougang Avenue 1,720 sqft / $16.39 psf(Built),"$11,800"
"★★ Joo Chiat Office for rent, avail Sep 22 ★★","1,300 sqft / $3.23 psf(Built)","$4,200"
Clementi Avenue 3,"2,250 sqft / $11.11 psf(Built)","$25,000"
Toa Payoh Central,580 sqft / $28.97 psf(Built),"$16,800"
Jalan Besar,"1,317 sqft / $4.18 psf(Built)","$5,500"
Tanjong Pagar Conservation Area,"1,475 sqft / $11.86 psf(Built)","$17,500"
Mohamed Sultan Road,"1,183 sqft / $5.00 psf(Built)","$5,920"
190 Lor 6 Toa Payoh,650 sqft / $30.77 psf(Built),"$20,000"
City Gate,680 sqft / $7.35 psf(Built),"$5,000"
Craig Road,"1,750 sqft / $7.89 psf(Built)","$13,800"
New Bridge Road,"2,900 sqft / $11.03 psf(Built)","$32,000"
Serangoon Central Drive,300 sqft / $16.67 psf(Built),"$5,000"
Arc 380,650 sqft / $3.85 psf(Built),"$2,500"
Mosque Street,"1,717 sqft / $11.65 psf(Built)","$20,000"
Goldhill Plaza,990 sqft / $10.10 psf(Built),"$9,999"
Katong Plaza,462 sqft / $4.50 psf(Built),"$2,079"
Ang Mo Kio Avenue 10,300 sqft / $12.67 psf(Built),"$3,800"
Sims Urban Oasis,678 sqft / $8.85 psf(Built),"$6,000"
West Coast Drive,150 sqft / $5.00 psf(Built),$750
Peck Seah Street,800 sqft / $5.63 psf(Built),"$4,500"
Mayflower Shopping & Food Centre,750 sqft / $4.40 psf(Built),"$3,300"
Cheng San Centre,360 sqft / $13.89 psf(Built),"$5,000"
Pasir Panjang Gardens,300 sqft / $10.00 psf(Built),"$3,000"
259284,463 sqft / $7.13 psf(Built),"$3,300"
NEWest,151 sqft / $19.87 psf(Built),"$3,000"
Changi Village Road,710 sqft / $3.94 psf(Built),"$2,800"
Changi Village Road,"1,420 sqft / $3.66 psf(Built)","$5,200"
East Coast Road,"2,284 sqft / $5.25 psf(Built)","$12,000"
Upper Cross Street,180 sqft / $15.56 psf(Built),"$2,800"
Telok Ayer Street,"2,000 sqft / $11.00 psf(Built)","$22,000"
Telok Ayer Conservation Area,"2,939 sqft / $7.00 psf(Built)","$20,573"
Jalan Bukit Merah,750 sqft / $9.33 psf(Built),"$7,000"
Bishan Street 11,330 sqft / $6.67 psf(Built),"$2,200"
Aliwal Street,"3,750 sqft / $9.33 psf(Built)","$35,000"
Le Somme,355 sqft / $9.86 psf(Built),"$3,500"
★★ BUSY Bukit Batok shop for rent - dont miss it ★★,200 sqft / $35.00 psf(Built),"$7,000"
Sago Street,"1,082 sqft / $11.09 psf(Built)","$12,000"
South Bridge Road,728 sqft / $7.97 psf(Built),"$5,800"
Bedok North Street 3,735 sqft / $6.53 psf(Built),"$4,800"
Bishan Green,"1,571 sqft / $5.41 psf(Built)","$8,500"
85 kampong bahru,"1,200 sqft / $5.67 psf(Built)","$6,800"
Pagoda Street,"1,200 sqft / $10.00 psf(Built)","$12,000"
Ang Mo Kio Avenue 1,732 sqft / $8.88 psf(Built),"$6,500"
Tanjong Pagar Road,"2,170 sqft / $12.00 psf(Built)","$26,040"
China Street,"2,422 sqft / $12.00 psf(Built)","$29,064"
48547,"3,035 sqft / $15.00 psf(Built)","$45,525"
48547,787 sqft / $15.00 psf(Built),"$11,805"
48547,"1,098 sqft / $15.00 psf(Built)","$16,470"
New Bridge Road,"2,900 sqft / $11.03 psf(Built)","$32,000"
Trengganu Street,"1,000 sqft / $8.00 psf(Built)","$8,000"
Mosque Street,"1,200 sqft / $11.67 psf(Built)","$14,000"
Carpenter Street,985 sqft / $6.90 psf(Built),"$6,800"
Kreta Ayer Conservation Area,"1,400 sqft / $12.86 psf(Built)","$18,000"
Kreta Ayer Conservation Area,"1,250 sqft / $7.20 psf(Built)","$9,000"
Mosque Street,"1,250 sqft / $7.20 psf(Built)","$9,000"
Upper Circular Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
North Canal Road,"1,373 sqft / $8.74 psf(Built)","$12,000"
North Canal Road,"1,440 sqft / $6.94 psf(Built)","$10,000"
Tanjong Pagar Conservation Area,"1,900 sqft / $7.63 psf(Built)","$14,500"
Mosque Street,"1,717 sqft / $11.65 psf(Built)","$20,000"
Mosque Street,"1,700 sqft / $11.76 psf(Built)","$20,000"
Bukit Merah Lane 1,250 sqft / $15.95 psf(Built),"$3,988"
Lavender Street,"3,450 sqft / $4.93 psf(Built)","$17,000"
Lavender Street,"1,730 sqft / $4.91 psf(Built)","$8,500"
Neil Road,"1,269 sqft / $3.78 psf(Built)","$4,800"
Jurong West Street 92,500 sqft / $7.60 psf(Built),"$3,800"
Serangoon Avenue 3,700 sqft / $11.43 psf(Built),"$8,000"
Le Regal,151 sqft / $8.53 psf(Built),"$1,288"
Stadium Walk,"2,042 sqft / $11.75 psf(Built)","$24,000"
Jalan Bukit Merah,750 sqft / $9.33 psf(Built),"$7,000"
