property_name,property_area_or_psf,property_total_price
Boat Quay Conservation Area,"1,200 sqft / $4.17 psf(Built)","$5,000"
One Raffles Place,947 sqft / $25.00 psf(Built),"$23,675"
Lam Soon Industrial Building,"3,670 sqft / $8.00 psf(Built)","$29,360"
Lavender Place,808 sqft / $7.49 psf(Built),"$6,052"
Tanjong Katong Road,"1,600 sqft / $6.13 psf(Built)","$9,800"
Lorong 36 Geylang,"1,500 sqft / $3.67 psf(Built)","$5,500"
Syed Alwi Road,"1,200 sqft / $15.00 psf(Built)","$18,000"
Lorong 40 Geylang,150 sqft / $10.00 psf(Built),"$1,500"
Tampines Street 81,350 sqft / $27.14 psf(Built),"$9,500"
CT FoodCHAIN,"7,040 sqft / $2.70 psf(Built)","$18,976"
Food Xchange @ Admiralty,"3,885 sqft / $2.57 psf(Built)","$10,000"
South Bridge Road,"1,457 sqft / $6.18 psf(Built)","$9,000"
Bliss Residences,764 sqft / $9.16 psf(Built),"$7,000"
Changi Road,"1,500 sqft / $8.00 psf(Built)","$12,000"
Lavender Street,"1,534 sqft / $7.75 psf(Built)","$11,888"
Upper Paya Lebar Road,"2,900 sqft / $4.14 psf(Built)","$12,000"
