"property_name","property_url","property_area_or_psf","property_total_price"
"Jurong Gateway","https://www.srx.com.sg/listings/96593481/for-rent-jurong-gateway-jurong-gateway-road","1,668 sqft / $11.99 psf(Built)","$20,000"
"Aljunied Avenue 2","https://www.srx.com.sg/listings/96908121/for-rent-aljunied-avenue-2-aljunied-avenue-2","330 sqft / $11.52 psf(Built)","$3,800"
"Geylang Road","https://www.srx.com.sg/listings/95700531/for-rent-geylang-road-geylang-road","1,600 sqft / $3.25 psf(Built)","$5,200"
"Jurong Gateway Road","https://www.srx.com.sg/listings/96725661/for-rent-jurong-gateway-road-jurong-gateway-road","3,530 sqft / $11.33 psf(Built)","$40,000"
"South Bridge Road","https://www.srx.com.sg/listings/96820841/for-rent-south-bridge-road-south-bridge-road","1,500 sqft / $6.00 psf(Built)","$9,000"
"Changi Village Road","https://www.srx.com.sg/listings/97719571/for-rent-changi-village-road-changi-village-road","750 sqft / $10.00 psf(Built)","$7,500"
"Balestier Road","https://www.srx.com.sg/listings/97851361/for-rent-balestier-road-balestier-road","2,600 sqft / $2.69 psf(Built)","$7,000"
"Little India Conservation Area","https://www.srx.com.sg/listings/97160651/for-rent-little-india-conservation-area-kerbau-road","350 sqft / $7.14 psf(Built)","$2,500"
"New Bridge Road","https://www.srx.com.sg/listings/96152411/for-rent-new-bridge-road-new-bridge-road","1,373 sqft / $8.74 psf(Built)","$12,000"
"Braddell Heights Estate","https://www.srx.com.sg/listings/96231781/for-rent-braddell-heights-estate-cotswold-close","1,450 sqft / $4.48 psf(Built)","$6,500"
"Sultan plaza","https://www.srx.com.sg/listings/97889681/for-rent-sultan-plaza-sultan-plaza","215 sqft / $9.30 psf(Built)","$2,000"
"Mosque Street","https://www.srx.com.sg/listings/97674941/for-rent-mosque-street-mosque-street","1,717 sqft / $11.65 psf(Built)","$20,000"
"Boat Quay Conservation Area","https://www.srx.com.sg/listings/97674931/for-rent-boat-quay-conservation-area-south-bridge-road","1,535 sqft / $5.86 psf(Built)","$9,000"
"Cuppage Plaza","https://www.srx.com.sg/listings/94747791/for-rent-cuppage-plaza-koek-road","312 sqft / $8.97 psf(Built)","$2,800"
"Amoy Street","https://www.srx.com.sg/listings/94308111/for-rent-amoy-street-amoy-street","1,200 sqft / $10.00 psf(Built)","$12,000"
"Amoy Street","https://www.srx.com.sg/listings/97911111/for-rent-amoy-street-amoy-street","1,200 sqft / $10.00 psf(Built)","$12,000"
"Serangoon Road","https://www.srx.com.sg/listings/97910331/for-rent-serangoon-road-serangoon-road","1,400 sqft / $5.71 psf(Built)","$8,000"
"One Raffles Place","https://www.srx.com.sg/listings/94762651/for-rent-one-raffles-place-extremely-rare-basement-great-frontage-f-b-unit-in","484 sqft / $36.00 psf(Built)","$17,424"
"Boat Quay Conservation Area","https://www.srx.com.sg/listings/97772151/for-rent-boat-quay-conservation-area-profitable-bistro-with-amazing-footfall-for-takeov","1,200 sqft / $4.17 psf(Built)","$5,000"
"One Raffles Place","https://www.srx.com.sg/listings/95033621/for-rent-one-raffles-place-extremely-rare-mall-basement-entrance-f-b-unit-in","947 sqft / $25.00 psf(Built)","$23,675"
"Lam Soon Industrial Building","https://www.srx.com.sg/listings/97905131/for-rent-lam-soon-industrial-building-hillview-avenue","3,670 sqft / $8.00 psf(Built)","$29,360"
"Lavender Place","https://www.srx.com.sg/listings/94223501/for-rent-lavender-place-lavender-street","808 sqft / $7.49 psf(Built)","$6,052"
"Tanjong Katong Road","https://www.srx.com.sg/listings/96767171/for-rent-tanjong-katong-road-rarely-available-strong-footfall-prominent-locat","1,600 sqft / $6.13 psf(Built)","$9,800"
"Lorong 36 Geylang","https://www.srx.com.sg/listings/97896291/for-rent-lorong-36-geylang-lorong-36-geylang","1,500 sqft / $3.67 psf(Built)","$5,500"
"Syed Alwi Road","https://www.srx.com.sg/listings/95695341/for-rent-syed-alwi-road-syed-alwi-road","1,200 sqft / $15.00 psf(Built)","$18,000"
